project name,project url,category,commits
restaurante,https://github.com/edsonmgoz/restaurante,"[1, 2, 5, 6, 7]",5,1,10
huginn,https://github.com/scollison/huginn,"[1, 2, 3, 5, 6, 7]",6,67,2030
spring-best-practices,https://github.com/g3collector/spring-best-practices,"[1, 3, 6]",3,8,37
angular-cli,https://github.com/dondre/angular-cli,"[1, 3, 4, 5, 6, 7]",6,101,1003
EmlakProjesi,https://github.com/mesutozturk/EmlakProjesi,[],0,3,62
CNTK,https://github.com/BrunoBozza/CNTK,"[1, 2, 4, 5, 6, 8]",6,18,4438
cassle,https://github.com/pombredanne/cassle,"[1, 2, 3, 4]",4,10,44
amazon-autocomplete,https://github.com/blairanderson/amazon-autocomplete,"[1, 3, 5]",3,5,11
hikari-for-Jekyll,https://github.com/villanella/hikari-for-Jekyll,"[1, 2, 3, 5]",4,23,108
butter-desktop,https://github.com/RLC22/butter-desktop,"[1, 3, 4, 5, 6, 7, 8]",7,95,5587
silex-cache-service-provider,https://github.com/kevinboudot/silex-cache-service-provider,"[1, 3, 5]",3,14,57
SeetaFaceLib,https://github.com/IvyGongoogle/SeetaFaceLib,"[1, 2, 3]",3,10,31
simple-partials-reading-v-000,https://github.com/mcansh/simple-partials-reading-v-000,"[1, 3, 8]",3,33,52
slack-history-export,https://github.com/kentmacdonald2/slack-history-export,"[1, 3, 6, 7]",4,6,69
docker-node,https://github.com/Scott-O-Brian/docker-node,"[1, 3, 4, 5, 6, 7]",6,22,371
Exploratory-Data-Analysis,https://github.com/nilaydc/Exploratory-Data-Analysis,"[1, 3]",2,3,9
gdufer,https://github.com/ywisax/gdufer,[],0,6,39
fms-endpoint,https://github.com/brismuth/fms-endpoint,"[1, 3, 4, 5]",4,5,118
yodatra,https://github.com/squareteam/yodatra,"[1, 2, 3]",3,7,71
neural_artistic_style,https://github.com/elsdrium/neural_artistic_style,"[1, 3]",2,4,16
alice,https://github.com/Unicamp-OpenPower/alice,"[1, 3, 4, 5]",4,2,89
sweep,https://github.com/lulupop/sweep,"[1, 3, 5, 6]",4,11,30
AndroidN-ify,https://github.com/blair34854/AndroidN-ify,"[1, 3, 5, 6]",4,13,1056
apples-and-holidays-v-000,https://github.com/BluesBaka/apples-and-holidays-v-000,"[1, 3, 6, 8]",4,44,111
component-typography,https://github.com/umbobabo/component-typography,"[1, 3]",2,5,171
restart-my-fox,https://github.com/Croydon/restart-my-fox,"[1, 2, 3, 5, 6]",5,4,75
rdpy,https://github.com/HPxpat/rdpy,"[1, 3]",2,55,286
EnumGenie,https://github.com/xwipeoutx/EnumGenie,"[1, 3, 6, 8]",4,8,23
caffe,https://github.com/kuyun-zhangyang/caffe,"[1, 5, 6]",3,28,3039
jquery-handsontable,https://github.com/ufirstgroup/jquery-handsontable,"[1, 3, 4, 5, 6, 7]",6,140,3045
locust-swarm,https://github.com/grandamp/locust-swarm,"[1, 3]",2,5,5
CountingView,https://github.com/wieweb/CountingView,"[1, 3, 4]",3,4,7
symphony,https://github.com/yujmh/symphony,"[1, 2, 3, 4, 5, 6]",6,117,3654
gala,https://github.com/mhm956/gala,"[1, 3]",2,8,49
ProgrammingAssignment2,https://github.com/agomezf/ProgrammingAssignment2,"[1, 2, 3, 8]",4,6,8
buntdb-optimization,https://github.com/k0mrade/buntdb-optimization,[1],1,6,12
FEM1,https://github.com/UniversityProjects/FEM1,[1],1,18,48
JavaScript-Templates,https://github.com/rramona2/JavaScript-Templates,"[1, 3, 5, 6]",4,19,74
javascript-logging-lab-bootcamp-prep-000,https://github.com/JWood02/javascript-logging-lab-bootcamp-prep-000,"[1, 2, 3, 6]",4,11,13
ember.js,https://github.com/trentmwillis/ember.js,[7],1,100,14244
p5-DBIx-FixtureLoader,https://github.com/Songmu/p5-DBIx-FixtureLoader,"[1, 3, 5]",3,10,60
ADClusterMapView,https://github.com/CraigLiaoBJ/ADClusterMapView,"[1, 3, 4, 6, 7]",5,10,47
sinopia,https://github.com/Leelow/sinopia,"[1, 3, 6]",3,24,649
chatbot,https://github.com/HirotoIgarashi/chatbot,[],0,7,8
bigtop,https://github.com/ganeshraju/bigtop,"[1, 2, 3, 5, 6, 7]",6,23,1617
XXPagingScrollView,https://github.com/wenjingjie/XXPagingScrollView,"[1, 3]",2,4,13
ParallelGit,https://github.com/jmilleralpine/ParallelGit,"[1, 2, 3, 5, 6]",5,50,557
1002,https://github.com/17352913480/1002,"[1, 3, 5, 6, 8]",5,2,4
csharp_tutorials,https://github.com/AzureByte/csharp_tutorials,"[1, 3]",2,51,74
io-slider,https://github.com/mmcgahan/io-slider,"[1, 2, 3]",3,2,6
J2EEScan,https://github.com/darg0001/J2EEScan,"[1, 2, 3, 4, 5]",5,11,74
buildship,https://github.com/gaborbernat/buildship,"[1, 3, 5, 6]",4,15,924
serviceLogs,https://github.com/peppy6582/serviceLogs,"[3, 5, 6]",3,1,4
ICDM2015,https://github.com/petrjanda/ICDM2015,"[1, 3]",2,4,4
elasticsearch-definitive-guide,https://github.com/harrywithcode/elasticsearch-definitive-guide,"[1, 3, 4, 5, 6, 7]",6,2,2152
Recorderjs,https://github.com/taf2/Recorderjs,"[1, 3, 5]",3,32,69
go-mqtt,https://github.com/antlinker/go-mqtt,[],0,11,47
Android-CleanArchitecture,https://github.com/alanwgeorge/Android-CleanArchitecture,"[1, 3, 5, 6]",4,14,211
ruby2-rails4-bootstrap-heroku,https://github.com/trujunzhang/ruby2-rails4-bootstrap-heroku,"[1, 3, 6]",3,66,547
GeoIP2-perl,https://github.com/MrItty/GeoIP2-perl,"[1, 3, 4, 5, 6]",5,12,361
sharedb,https://github.com/nmjesus/sharedb,"[1, 3, 5, 6]",4,26,676
liferay-connector,https://github.com/Robbe92/liferay-connector,"[1, 3, 5]",3,7,125
px-data-table,https://github.com/a3986/px-data-table,"[1, 3, 6]",3,23,596
tiny-dnn,https://github.com/Capri2014/tiny-dnn,"[1, 2, 3, 4, 5, 6, 7, 8]",8,80,922
rampant,https://github.com/carriercomm/rampant,"[1, 3, 5]",3,1,3
BMCustomTableView,https://github.com/medos1472/BMCustomTableView,"[1, 3, 5]",3,12,15
handson-ml,https://github.com/ZahoreczTibor/handson-ml,"[1, 3]",2,23,114
geonotebook,https://github.com/yu5y/geonotebook,"[1, 3, 5, 6]",4,30,616
ARP-spoofing,https://github.com/ammarx/ARP-spoofing,"[1, 3, 5, 6]",4,7,10
ionic-native,https://github.com/RodrigoCm95/ionic-native,"[1, 3, 5, 6, 7]",5,22,1322
shadowsocks-windows,https://github.com/tkylin/shadowsocks-windows,"[1, 3, 5, 6]",4,60,1032
iio-oscilloscope,https://github.com/lrmodesgh/iio-oscilloscope,"[1, 5, 6]",3,2,1820
Viberr,https://github.com/voDox17/Viberr,"[1, 3]",2,2,2
Blackjack,https://github.com/ChadLactaoen/Blackjack,"[1, 2, 3, 6, 8]",5,10,23
cockroach,https://github.com/imkernel/cockroach,"[1, 2, 3, 4, 6, 7]",6,157,14721
oscarsale.github.io,https://github.com/oscarsale/oscarsale.github.io,"[1, 2, 3, 5, 6, 7]",6,132,338
QuickGraphAndroid,https://github.com/emil10001/QuickGraphAndroid,"[1, 2, 5]",3,2,3
Q,https://github.com/choreographing-quokka/Q,"[1, 3, 4, 5, 6, 7]",6,3,249
SimplifyReader,https://github.com/xuhuawei131/SimplifyReader,[],0,12,18
numpy,https://github.com/perimosocordiae/numpy,[],0,13,18550
jekyll-bootstrap,https://github.com/kwangkim/jekyll-bootstrap,"[1, 3, 4, 5, 6, 7]",6,13,195
Android-CircleMenu,https://github.com/OuyangLab/Android-CircleMenu,[],0,8,10
java8collections,https://github.com/zawieja/java8collections,"[1, 3, 6, 8]",4,12,19
LCS,https://github.com/Jaiimmortal/LCS,"[1, 3, 6]",3,13,18
android-async-http,https://github.com/Crysty-Yui/android-async-http,"[1, 3, 4, 6]",4,22,777
cartoon-collections-001-prework-web,https://github.com/paige11/cartoon-collections-001-prework-web,"[1, 2, 3, 6, 8]",5,25,73
konstantin-fluentd,https://github.com/iL-Mattone/konstantin-fluentd,"[1, 3, 4, 5, 6]",5,22,46
frontend-nanodegree-feedreader,https://github.com/neumanta/frontend-nanodegree-feedreader,"[1, 2, 3]",3,3,6
docker-vault,https://github.com/kunickiaj/docker-vault,"[1, 3, 5, 6, 7]",5,6,57
LOST,https://github.com/randhika/LOST,"[1, 3]",2,10,166
RoaringBitmap,https://github.com/dhaval2025/RoaringBitmap,"[1, 2, 3, 5, 6]",5,66,484
node-google-spreadsheets,https://github.com/dluxemburg/node-google-spreadsheets,"[1, 3, 4, 6]",4,2,12
extwitter,https://github.com/mroth/extwitter,"[1, 3, 6, 8]",4,35,162
homebrew,https://github.com/arodrime/homebrew,"[1, 3, 5, 6]",4,49,29607
quicksand_lite,https://github.com/tylabs/quicksand_lite,"[1, 2, 3, 4, 5, 6]",6,10,29
installer,https://github.com/EmanueleMinotto/installer,"[1, 3, 4, 5, 6, 7]",6,2,35
gaia,https://github.com/manekinekko/gaia,"[1, 3, 5, 6]",4,59,42081
jison,https://github.com/Koulio/jison,"[1, 3, 5, 6, 7]",5,20,625
448Hmwk5,https://github.com/DimGreyWolf/448Hmwk5,"[1, 3, 5, 6]",4,9,54
github-changelog-generator,https://github.com/pivotal-mikegresham/github-changelog-generator,"[1, 2, 3, 5, 6, 7]",6,116,1402
phpiredis,https://github.com/vpothuri/phpiredis,"[1, 3, 5, 7]",4,9,144
jfortune,https://github.com/valley51/jfortune,"[1, 3, 6]",3,14,49
mobile-first-dashboard,https://github.com/maxamillion32/mobile-first-dashboard,"[1, 3]",2,11,29
synfig,https://github.com/shyamalschandra/synfig,"[1, 2, 3, 6, 8]",5,7,8168
patty,https://github.com/nigredo-tori/patty,"[1, 3, 4]",3,17,53
ews-cpp,https://github.com/QuickQi1/ews-cpp,"[1, 3, 5, 6, 8]",5,18,408
visor,https://github.com/mdxprograms/visor,"[1, 3, 4, 7]",4,1,1
jBloomberg,https://github.com/NunoEdgarGub1/jBloomberg,"[1, 2, 3, 4, 5, 6]",6,22,105
glide,https://github.com/1406504841/glide,"[1, 2, 3, 4, 5, 6, 7]",7,43,1411
sqlite3,https://github.com/IbpTeam/sqlite3,"[1, 3, 5, 6]",4,1,1
swirl_courses,https://github.com/Shamash2014/swirl_courses,"[1, 3, 5, 6]",4,34,752
Colorful-1,https://github.com/luoyiqi/Colorful-1,"[1, 3, 5]",3,18,51
movies,https://github.com/MariyaS/movies,"[1, 3]",2,4,9
passwordless,https://github.com/haisonle/passwordless,"[1, 2, 3, 5, 6]",5,34,131
r-graph-catalog,https://github.com/JoseEnrique04/r-graph-catalog,"[1, 2, 5, 6, 7]",5,4,49
NightNight,https://github.com/MaxAdamyan/NightNight,"[1, 2, 3, 5]",4,14,158
SlidingTutorial-Android,https://github.com/iamxufeng/SlidingTutorial-Android,"[1, 2, 3, 4, 5, 6]",6,36,86
yii2-eav,https://github.com/ArmiT/yii2-eav,"[1, 3, 8]",3,40,130
workflow-plugin,https://github.com/serenabi/workflow-plugin,"[1, 2, 3, 6]",4,48,1096
date-time-picker,https://github.com/duguruiyuan/date-time-picker,"[1, 3, 5]",3,11,35
NiftyNotification,https://github.com/sd6352051/NiftyNotification,"[1, 3, 5, 6]",4,16,38
assemble-workshop,https://github.com/itlackey/assemble-workshop,"[1, 3, 5, 6, 7]",5,21,144
ruby-object-initialize-lab-v-000,https://github.com/EarLyMe/ruby-object-initialize-lab-v-000,"[1, 3]",2,5,12
CalendarView,https://github.com/liujinchong/CalendarView,[],0,28,40
tcp-qa,https://github.com/sandriichenko/tcp-qa,"[1, 3]",2,21,152
Mining-the-Social-Web-2nd-Edition,https://github.com/nithiroj/Mining-the-Social-Web-2nd-Edition,"[1, 2, 3, 6]",4,62,331
xact,https://github.com/mucyomiller/xact,"[1, 2, 3]",3,7,15
RepData_PeerAssessment1,https://github.com/josnthecaster/RepData_PeerAssessment1,"[1, 2, 3]",3,7,15
libgdx-demo-cuboc,https://github.com/HanWenfang/libgdx-demo-cuboc,"[1, 3]",2,7,27
scikit-beam,https://github.com/bfrosik/scikit-beam,"[1, 3, 6]",3,24,1420
hacker-scripts,https://github.com/murongruomeng/hacker-scripts,"[1, 3]",2,9,45
skills-based-javascript-intro-to-flow-control-v-000,https://github.com/jwolfe890/skills-based-javascript-intro-to-flow-control-v-000,"[1, 3, 6]",3,30,46
Apollo-11,https://github.com/hughker/Apollo-11,"[1, 5, 6]",3,23,89
microservices-examples,https://github.com/Kryndex/microservices-examples,[3],1,7,31
ExData_Plotting1,https://github.com/silverfern7/ExData_Plotting1,"[1, 3, 6]",3,2,16
advanced-tensorflow,https://github.com/YangHaha11514/advanced-tensorflow,"[1, 3]",2,17,73
Device42-AutoDiscovery-Scripts,https://github.com/spkane/Device42-AutoDiscovery-Scripts,"[1, 3, 6]",3,10,49
ripgrep,https://github.com/AlluringJay/ripgrep,"[1, 2, 3, 5, 6]",5,32,494
vimsert,https://github.com/dragon788/vimsert,"[1, 3, 5, 6, 7]",5,10,21
angular2-busy,https://github.com/ozalpdemir/angular2-busy,"[1, 3, 4, 5, 6]",5,14,47
tokens,https://github.com/midumitrescu/tokens,"[1, 3, 5]",3,13,192
StarryPy3k,https://github.com/AMorporkian/StarryPy3k,"[1, 3, 6, 7]",4,7,294
generator-gulp-angular,https://github.com/aceol/generator-gulp-angular,"[1, 3, 4, 5, 6, 7]",6,72,897
smart-on-fhir.github.io,https://github.com/aaronseib/smart-on-fhir.github.io,"[1, 3, 5, 6]",4,6,404
schooldemo,https://github.com/carolcoral/schooldemo,[],0,1,2
kidsrubyinstaller-windows,https://github.com/gkarunakaran/kidsrubyinstaller-windows,"[1, 3, 6, 7]",4,5,80
cecil,https://github.com/WaylandGod/cecil,"[1, 3, 5, 6]",4,8,726
MMNumberKeyboard,https://github.com/houze2311/MMNumberKeyboard,"[1, 3, 5, 7]",4,4,33
cleanflight,https://github.com/funze/cleanflight,"[1, 2, 6, 7]",4,16,2182
vagrant-aws,https://github.com/johnsonjr/vagrant-aws,"[1, 3, 4]",3,62,351
YouCompleteMe,https://github.com/memorywarning/YouCompleteMe,"[1, 2, 3, 5, 6, 7]",6,332,1763
reveal.js,https://github.com/bissal/reveal.js,"[1, 3, 5, 6]",4,383,1797
Engine,https://github.com/fp7-netide/Engine,"[1, 2, 6]",3,10,990
calendarjs,https://github.com/raphapassini/calendarjs,"[1, 3, 6]",3,2,7
node-tesseract,https://github.com/zhongdaojin/node-tesseract,"[1, 3, 4]",3,28,63
go-multiaddr,https://github.com/majestrate/go-multiaddr,"[1, 3]",2,6,56
angular-strap,https://github.com/ttyouare/angular-strap,"[1, 2, 3, 5, 6, 7]",6,52,1009
wdi_11_angular_token_auth_app,https://github.com/LookOut800/wdi_11_angular_token_auth_app,"[1, 3, 6]",3,4,7
js-basics-online-shopping-lab-js-intro-000,https://github.com/crisamdegracia/js-basics-online-shopping-lab-js-intro-000,"[1, 2, 3]",3,22,52
QrCodeScan,https://github.com/leixinstar/QrCodeScan,[],0,5,9
objc-TimesSquare,https://github.com/jakeheis/objc-TimesSquare,"[1, 3, 6, 7]",4,5,51
sonar-examples,https://github.com/tfereyre/sonar-examples,"[3, 4, 5]",3,17,766
website,https://github.com/e0003083/website,"[1, 4, 5, 7]",4,15,823
search-github-users,https://github.com/merlincharlotte/search-github-users,"[1, 3]",2,1,2
nshahpazov.github.io,https://github.com/mgechev/nshahpazov.github.io,"[1, 3, 6]",3,1,9
debugger.html,https://github.com/sdtm1016/debugger.html,"[1, 2, 3, 5, 7]",5,37,749
