categories,add num,commit ave README.md,commit ave ALL,README.md commit rate
1,57,16.473684210526315,1562.2456140350878,1.0544874674332945
2,52,27.173076923076923,3102.923076923077,0.8757251227130746
3,70,24.9,1406.142857142857,1.7708015848826575
4,41,51.51219512195122,1027.3902439024391,5.013887899722242
5,25,79.52,1734.8,4.583813696103297
6,21,154.47619047619048,3898.2380952380954,3.9627181999193772
7,3,58.0,2113.0,2.744912446758164
8,1,80.0,922.0,8.676789587852495
ave,33.75,61.506893341468114,1970.8424859051945,3.5853920006730755
