name,language,commits,files,loc
nigredo-tori/patty,Nimrod,53,4,541
QuickQi1/ews-cpp,C++,408,35,19923
mdxprograms/visor,HTML,1,6,367
h0rn3t/instagram-scraper,not found
NunoEdgarGub1/jBloomberg,Java,105,71,5197
1406504841/glide,Java,1411,439,37513
IbpTeam/sqlite3,C,1,704,227947
Shamash2014/swirl_courses,R,752,338,4966
luoyiqi/Colorful-1,Java,51,13,638
MariyaS/movies,Python,9,3,97
haisonle/passwordless,JavaScript,131,39,4031
JoseEnrique04/r-graph-catalog,HTML,49,141,4403
MaxAdamyan/NightNight,Swift,158,55,1517
iamxufeng/SlidingTutorial-Android,Java,86,39,2263
ArmiT/yii2-eav,not found
serenabi/workflow-plugin,not found
duguruiyuan/date-time-picker,JavaScript,35,27,1936
sd6352051/NiftyNotification,Java,38,19,1016
itlackey/assemble-workshop,JavaScript,144,59,1599
EarLyMe/ruby-object-initialize-lab-v-000,Ruby,12,451,36621
sandriichenko/tcp-qa,Python,152,38,2581
nithiroj/Mining-the-Social-Web-2nd-Edition,HTML,331,135,4057
DavidRGriswold/jquery-colourpicker,not found
mucyomiller/xact,Python,15,2,69
josnthecaster/RepData_PeerAssessment1,HTML,15,1,89
HanWenfang/libgdx-demo-cuboc,Java,27,26,1657
bfrosik/scikit-beam,Python,1420,144,8627
murongruomeng/hacker-scripts,PHP,45,20,630
jwolfe890/skills-based-javascript-intro-to-flow-control-v-000,JavaScript,46,3,105
hughker/Apollo-11,Assembly,89,0,0
Kryndex/microservices-examples,JavaScript,31,49,4884
silverfern7/ExData_Plotting1,R,16,4,44
YangHaha11514/advanced-tensorflow,Jupyter Notebook,73,30,4812
spkane/Device42-AutoDiscovery-Scripts,Python,49,8,1491
AlluringJay/ripgrep,Rust,494,51,12169
dragon788/vimsert,JavaScript,21,8,21514
ozalpdemir/angular2-busy,TypeScript,47,73,7801
midumitrescu/tokens,Java,192,59,2195
AMorporkian/StarryPy3k,Python,294,42,4177
aceol/generator-gulp-angular,JavaScript,897,163,6583
aaronseib/smart-on-fhir.github.io,CSS,404,18,20569
gkarunakaran/kidsrubyinstaller-windows,Ruby,80,12,530
WaylandGod/cecil,C#,726,236,33927
houze2311/MMNumberKeyboard,Objective-C,33,8,736
funze/cleanflight,C,2182,444,110834
johnsonjr/vagrant-aws,Ruby,351,33,1548
memorywarning/YouCompleteMe,Python,1763,54,6896
bissal/reveal.js,JavaScript,1797,57,11358
fp7-netide/Engine,Java,990,406,32492
raphapassini/calendarjs,JavaScript,7,11,8139
zhongdaojin/node-tesseract,JavaScript,63,5,125
majestrate/go-multiaddr,Go,56,7,679
ttyouare/angular-strap,JavaScript,1009,166,49216
LookOut800/wdi_11_angular_token_auth_app,ApacheConf,7,19,658
rollbear/Catch,not found
crisamdegracia/js-basics-online-shopping-lab-js-intro-000,JavaScript,52,3,163
jakeheis/objc-TimesSquare,Objective-C,51,19,876
tfereyre/sonar-examples,Java,766,63,1259
magadan/eleVR-Picture-Player,not found
e0003083/website,HTML,823,9,1081
merlincharlotte/search-github-users,JavaScript,2,20,590
ovicko/yii2-shop,not found
mgechev/nshahpazov.github.io,CSS,9,38,5677
sdtm1016/debugger.html,JavaScript,749,267,33237
pat/drumknott,Ruby,31,15,401
jpbetz/prezto,Shell,1747,42,1905
hsugita/imas-producer_schedule,Ruby,20,9,239
divampo/PHPStaticHelpers,PHP,2,6,732
manuelgu/discord-api-docs,JavaScript,122,1,1
cloudfoundry/cf-mysql-release,Go,2407,1063,571189
D630/bds,Shell,15,3,629
babyformula/shadowsocks,Python,1,40,3773
imlucas/node-forro,JavaScript,46,2,431
boumer/neocities,HTML,1763,669,24641
att-bdpaas/webhdfs,Ruby,82,11,686
aforward-oss/chef-redis,Ruby,46,19,439
Apentz49/django-movies-api,Python,5,13,182
schmittjoh/jmsPaymentPlugin,PHP,48,79,2477
jmorcos22/odoo,Python,99673,2593,418725
henvic/pb,Go,167,20,959
fredericletellier/udacity-xyzreader,Java,24,15,1152
socialchorus/homebrew,Ruby,189,24,627
cambiata/android-midi-lib,Java,7,38,2788
connorworkman/LightWM,C++,32,8,1041
fabianfh/QuantLib,C++,13378,2602,383700
thekonz/piximgen,PHP,26,1,102
gaopeng9090/IntentKit,Objective-C,259,80,3475
kuyoska/embedio,C#,395,94,19892
sandu81/botframework,C#,32,30,2011
bran921007/react,JavaScript,4690,498,77756
rune-opera/web-platform-tests,not found
cliffparnitzky/TinyMceContextMenu,PHP,24,4,10
Peplo/duckling,Clojure,568,183,22990
niceguy-php/redis-windows,Shell,36,2,61
larssonandreas/gemstash,not found
asmboom/Lizitt-Unity3D-Outfitter,C#,89,53,4164
igorT/khan-exercises,JavaScript,936,114,8156
omedbb/volume-leather-fill,Objective-C,1,38,1657
bikong2/rrc_detection,C++,50,486,83177
bkachamakov/FreeCodeCamp,HTML,4869,414,110494
abhilashkkumar/testapp_rails,Ruby,10,60,451
ryam244/cdnjs-1,JavaScript,3050,10938,2940386
melodysu83/AutoCircle_generater,C++,68,13,2103
caomm/angularjs-springmvc-sample,Java,111,48,2192
manuelbrand/WeatherPage,HTML,1,18,222
zhly0/LightGBM,C++,336,84,13535
RubenPHP/cookieconsent,JavaScript,441,13,1664
peteryunkim/javascript-intro-to-functions-lab-web-031317,JavaScript,26,2,61
lindes/vrptools,C,68,8,926
adrian907/neuraltalk2,Lua,36,23,1905
MHarrison72/ircdd,Python,260,52,3268
harvard-crimson/django-select2,Python,228,55,5616
m4rm0k/matter-js,JavaScript,253,41,25857
uliano/GaCD-Assignment,not found
SCDesigns/web-auth-readme-v-000,Ruby,17,32,214
MasazI/dropzone,JavaScript,755,16,8043
petems/puppet-splunk,Puppet,260,57,1341
savethefails/gcloud-node,JavaScript,1451,130,35382
tmandal/CarND-Transfer-Learning-Lab,Python,37,5,197
ld000/decent,JavaScript,70,36,6283
ahmadassaf/dynamic-json-resume,JavaScript,63,15,1557
envs/javascript,JavaScript,1402,18,983
FleetCarma/embedC-Challenge,C,9,3,27
fewd-sg/fewd-3-homework-week-2,CSS,157,24,11389
CASunday2003/jquery,JavaScript,6167,198,43252
ibarrick/web-animations-js,JavaScript,1456,85,16958
abricot/foxmote,JavaScript,107,58,4767
HugoTamaki/flisol-api,JavaScript,2,3,76
ccbabi/demo-redux-todo,not found
vanloswang/cpprestsdk,C++,1490,514,85380
Fu2k/Seccubus_v2,JavaScript,976,826,122547
EgoistTheBest/monodroid-samples,C#,1287,1623,123684
Chen0831/rallets-android,Scala,1714,90,6719
rivieragug/groovy-core,Java,10289,1263,140586
Parisson/loaders,JavaScript,122,14,2015
Lodin/broccoli-pug-plugin,JavaScript,4,6,124
jimlester/thoughtworks-email-signature-generator,JavaScript,141,46,68568
kleopatra999/ca-bundle,PHP,23,2,198
abhinav1592/PruneCluster,JavaScript,180,12,52241
barchetta/hackathon-2016-12,JavaScript,10,12,168
rivabe/aci-fabric-deploy,Python,1,3,163
GitBoat/openshift3mlbparks,Java,34,5,6210
mnacos/coffee-react-quickstart,CoffeeScript,112,21,757
kcufId/pupy,Python,940,508,80651
59naga/object-parser,JavaScript,14,3,71
jbakic/Shielded,C#,441,57,8094
ctinnell/swift-java-bridge,Objective-C++,42,11,335
ashusa303/aw-reporting,Java,1855,257,39131
avigad/Spectral,Lean,481,54,11861
ThomasGrivaz/Learning-Analytics-Project,Jupyter Notebook,47,11,835
jlangston/mosh-chrome,C++,243,43,4883
gskachkov/phantomjs,C++,1718,20251,3636798
cbogithub/pixelpusher,Python,9,6,622
thesaadarshad/setup-ipsec-vpn,Shell,312,6,957
detoxin/ricochet,C++,840,118,22610
zouzias/docker-elk,Shell,65,3,14
BhanuPatnana/tutorials,XSLT,4907,3366,305369
cpunion/react-web,JavaScript,317,225,24984
alanqian/feedback,JavaScript,28,6,3263
brianrainey/.dotfiles,Emacs Lisp,79,4,32
d-vf/plotly,R,1305,86,6591
johntron/es2015-bootstrap,JavaScript,3,3,42
carueda/stoqs,Jupyter Notebook,4404,883,278127
sebcrozet/nrays,Rust,82,17,2371
letup/CoreAR,C,149,102,9803
wthit56/node.unnecessary.js,JavaScript,4,4,334
victorkamenov/scsh,not found
romerun/XChange,Java,595,349,15536
bazmecode/Pass4Win,C#,143,24,2822
jinchunguang/yii2-app-learning,not found
hughperkins/clBLAS,C,249,677,198402
ruoshui/srs,C++,3381,244,73592
crann/angular-ckeditor-directive,HTML,8,213,3155
troska/homebrew-cask,Ruby,42737,3262,47355
BuckleTypes/bs-webapi-incubator,Reason,422,153,3841
christopherwoo/data-science-ipython-notebooks,Python,483,89,8252
lionfish7699/guides,Ruby,320,22,515
yaogdu/python-fire,Python,13,34,2286
ocean90/wp-cli,not found
monw3c/swiped,JavaScript,27,5,320
Dauthiwarlord/UniversalMediaServer,Java,5844,330,61061
juame/puppet-firewalld,Ruby,23,10,356
tetsuo6666/MSCollectionViewCalendarLayout,Objective-C,99,186,16471
renoguyon/angular-duration-format,JavaScript,27,7,435
slavame/mitro,HTML,65,2550,420903
Chiel92/chugins,C++,280,150,24691
tourze/onepage_scroll,JavaScript,61,10,1216
subclub/oauth2,Ruby,434,26,1317
dev1234/BeeFramework,Objective-C,282,1180,134461
cyz0430/resume,not found
fitmoo/drupal_store_ftm,PHP,5,3303,365724
travisjeffery/pat,Go,63,5,437
zephyrm/d3,JavaScript,4079,5,88
KyleOndy/docs,not found
shilobanerjee/AFiNeS,C++,333,21,5555
bambella4316/javascript-arithmetic-lab-bootcamp-prep-000,JavaScript,13,3,84
leobcn/takeown,Go,35,6,1421
itsky365/vegeta,Go,417,21,1843
theschubinator/javascript-objects-lab-js-intro-000,not found
monkeymoney/fullPage.js,not found
dxas90/ionic-cli,JavaScript,1240,98,10621
XiliangSong/api,Go,28,5,269
ccloes/aws-codedeploy-agent,Ruby,70,66,8467
jacknjzhou/raet,Python,694,58,39369
npouvesle/echo,Go,320,36,2783
z4321548/reading,not found
shayhowe/modular-html-css-js-workshop,CSS,55,11,1328
TLINDEN/novel-mode,Emacs Lisp,6,1,221
rossgritz/ipython-notebooks,Jupyter Notebook,108,41,6788
tdeborge/angular-phonecat,JavaScript,228,31,675
AlexandraRezk02/first-lab-ruby-learn-cli-ile-intro-to-learn,Ruby,21,2,11
jaredkirkley/formBuilder,JavaScript,441,117,10395
panshuiqing/ocanvas,JavaScript,373,45,40975
hobmgcode/you-get,Python,1113,105,7215
openube/ML-From-Scratch,Python,69,21,1328
paarthenon/DefinitelyTyped,TypeScript,22103,4803,1200007
mraimi/insight2,Python,45,3,228
