project name,project url,category,commits
compass,https://github.com/johnsonyang/compass,[],15
Front-end-tutorial,https://github.com/xiaofeng00/Front-end-tutorial,[],53
awesome_admin_layout,https://github.com/appirits/awesome_admin_layout,"[1, 3, 7]",7
simple_rsa,https://github.com/johabu/simple_rsa,"[1, 3, 5, 6]",4
quantlib,https://github.com/DuncanAForbes/quantlib,[7],12
gtg,https://github.com/ishitach/gtg,"[1, 3, 6]",3
research-2016-ecoop-artifact,https://github.com/eyolfson/research-2016-ecoop-artifact,"[1, 3]",34
G-Library,https://github.com/guoyu07/G-Library,[],3
retrolambda,https://github.com/cushon/retrolambda,"[1, 2, 3, 4, 6]",112
NPKC_17_Teensy3.2,https://github.com/trZone/NPKC_17_Teensy3.2,[1],2
jspm-cli,https://github.com/SerkanSipahi/jspm-cli,"[1, 5, 6]",75
DoctrineEncryptBundle,https://github.com/TNAJanssen/DoctrineEncryptBundle,"[1, 2, 4, 5, 6]",19
hyperapp,https://github.com/KeithLee208/hyperapp,"[3, 6]",40
seadroid,https://github.com/isoscl/seadroid,"[1, 3, 6, 7]",43
wp-github-updater,https://github.com/shohag121/wp-github-updater,"[1, 3]",5
wildfly,https://github.com/AlexandreHonorato/wildfly,"[1, 2, 3, 5, 6, 7]",17
kdev-kernel,https://github.com/c-jheengut/kdev-kernel,"[1, 2, 3, 4, 5, 6, 7]",6
neveragaindottech.github.io,https://github.com/uhlume/neveragaindottech.github.io,"[1, 6]",30
PySLGalMaker,https://github.com/weimingtom/PySLGalMaker,[],11
jquery.hotkeys,https://github.com/ghamry/jquery.hotkeys,"[1, 3]",34
pluck,https://github.com/plirof/pluck,[1],6
carrierwave-base64-storage,https://github.com/alg/carrierwave-base64-storage,[1],3
msu_ngs2015,https://github.com/IL2liu/msu_ngs2015,[],8
dev1-mini-project,https://github.com/Exia101/dev1-mini-project,[1],1
gulp-merge-json,https://github.com/joshswan/gulp-merge-json,"[1, 3]",18
unity3d-store,https://github.com/javillegas/unity3d-store,"[1, 3, 4, 5, 6, 7]",120
pcbsd,https://github.com/jbenden/pcbsd,[1],12
fake_inject,https://github.com/erizhang/fake_inject,"[1, 3]",6
fig,https://github.com/homingli/fig,"[1, 3]",71
LogViewer,https://github.com/illuminate3/LogViewer,"[1, 4, 6, 7]",18
Dragonet,https://github.com/willotheblessed/Dragonet,"[1, 3, 4]",20
ras-common,https://github.com/ONSdigital/ras-common,"[1, 2, 3]",21
node-taas-client,https://github.com/LordWiley/node-taas-client,"[1, 3, 5, 6, 8]",8
brew,https://github.com/itomato/brew,"[1, 3, 5, 6]",88
nodegit,https://github.com/martinheidegger/nodegit,[],221
yamp-js,https://github.com/the-vk/yamp-js,[],3
js-jquery-stop-propogation-lab-wdf-000,https://github.com/Olive4Oyl/js-jquery-stop-propogation-lab-wdf-000,"[1, 3]",9
whenever,https://github.com/bdurand/whenever,"[3, 5, 6]",63
