project name,project url,category,commits
J2EEScan,https://github.com/darg0001/J2EEScan,"[1, 2, 3, 4]",11
buildship,https://github.com/gaborbernat/buildship,"[1, 3, 6]",15
serviceLogs,https://github.com/peppy6582/serviceLogs,"[3, 5, 6]",1
ICDM2015,https://github.com/petrjanda/ICDM2015,"[1, 3]",4
elasticsearch-definitive-guide,https://github.com/harrywithcode/elasticsearch-definitive-guide,"[1, 3, 4, 5, 6, 7]",2
Recorderjs,https://github.com/taf2/Recorderjs,"[1, 3]",32
go-mqtt,https://github.com/antlinker/go-mqtt,[],11
Android-CleanArchitecture,https://github.com/alanwgeorge/Android-CleanArchitecture,"[1, 3, 5, 6]",14
ruby2-rails4-bootstrap-heroku,https://github.com/trujunzhang/ruby2-rails4-bootstrap-heroku,"[1, 3, 6]",66
GeoIP2-perl,https://github.com/MrItty/GeoIP2-perl,"[1, 3, 4, 5, 6]",12
sharedb,https://github.com/nmjesus/sharedb,[3],26
liferay-connector,https://github.com/Robbe92/liferay-connector,"[1, 3, 5]",7
px-data-table,https://github.com/a3986/px-data-table,"[1, 3, 6]",23
tiny-dnn,https://github.com/Capri2014/tiny-dnn,"[1, 2, 3, 5, 6]",80
rampant,https://github.com/carriercomm/rampant,"[1, 3, 5]",1
BMCustomTableView,https://github.com/medos1472/BMCustomTableView,"[1, 3, 5]",12
handson-ml,https://github.com/ZahoreczTibor/handson-ml,"[1, 3]",23
geonotebook,https://github.com/yu5y/geonotebook,[3],30
ARP-spoofing,https://github.com/ammarx/ARP-spoofing,"[1, 3]",7
ionic-native,https://github.com/RodrigoCm95/ionic-native,"[1, 3, 5, 6, 7]",22
shadowsocks-windows,https://github.com/tkylin/shadowsocks-windows,"[1, 3, 5]",60
iio-oscilloscope,https://github.com/lrmodesgh/iio-oscilloscope,"[1, 5, 6]",2
Viberr,https://github.com/voDox17/Viberr,"[1, 3]",2
Blackjack,https://github.com/ChadLactaoen/Blackjack,"[1, 2, 3, 6, 8]",10
cockroach,https://github.com/imkernel/cockroach,"[1, 4, 6, 7]",157
oscarsale.github.io,https://github.com/oscarsale/oscarsale.github.io,"[1, 2, 3, 5, 6]",132
QuickGraphAndroid,https://github.com/emil10001/QuickGraphAndroid,"[1, 2, 5]",2
Q,https://github.com/choreographing-quokka/Q,"[1, 3, 4, 5, 6, 7]",3
SimplifyReader,https://github.com/xuhuawei131/SimplifyReader,[],12
numpy,https://github.com/perimosocordiae/numpy,[],13
jekyll-bootstrap,https://github.com/kwangkim/jekyll-bootstrap,"[1, 3, 4, 5, 6, 7]",13
java8collections,https://github.com/zawieja/java8collections,"[1, 3, 6, 8]",12
LCS,https://github.com/Jaiimmortal/LCS,"[1, 3, 6]",13
android-async-http,https://github.com/Crysty-Yui/android-async-http,"[1, 3, 6]",22
cartoon-collections-001-prework-web,https://github.com/paige11/cartoon-collections-001-prework-web,"[1, 2, 3, 6, 8]",25
konstantin-fluentd,https://github.com/iL-Mattone/konstantin-fluentd,"[1, 3, 4, 6]",22
frontend-nanodegree-feedreader,https://github.com/neumanta/frontend-nanodegree-feedreader,[],3
docker-vault,https://github.com/kunickiaj/docker-vault,"[1, 3, 5, 6, 7]",6
LOST,https://github.com/randhika/LOST,"[1, 3]",10
RoaringBitmap,https://github.com/dhaval2025/RoaringBitmap,"[1, 2, 3, 5, 6]",66
node-google-spreadsheets,https://github.com/dluxemburg/node-google-spreadsheets,[],2
extwitter,https://github.com/mroth/extwitter,"[3, 8]",35
homebrew,https://github.com/arodrime/homebrew,"[1, 5, 6]",49
quicksand_lite,https://github.com/tylabs/quicksand_lite,"[1, 2, 4, 5, 6]",10
installer,https://github.com/EmanueleMinotto/installer,"[1, 3, 4, 5, 6, 7]",2
gaia,https://github.com/manekinekko/gaia,"[3, 6]",59
jison,https://github.com/Koulio/jison,"[1, 3, 5, 6]",20
448Hmwk5,https://github.com/DimGreyWolf/448Hmwk5,[1],9
github-changelog-generator,https://github.com/pivotal-mikegresham/github-changelog-generator,"[1, 2, 3, 5, 6, 7]",116
phpiredis,https://github.com/vpothuri/phpiredis,"[3, 7]",9
jfortune,https://github.com/valley51/jfortune,"[1, 3, 6]",14
mobile-first-dashboard,https://github.com/maxamillion32/mobile-first-dashboard,"[1, 3]",11
synfig,https://github.com/shyamalschandra/synfig,"[1, 2, 3, 6, 8]",7
patty,https://github.com/nigredo-tori/patty,"[1, 3]",17
ews-cpp,https://github.com/QuickQi1/ews-cpp,"[1, 3, 5, 6, 8]",18
visor,https://github.com/mdxprograms/visor,"[1, 3, 4, 7]",1
jBloomberg,https://github.com/NunoEdgarGub1/jBloomberg,[],22
glide,https://github.com/1406504841/glide,"[1, 2, 3, 4, 5, 6, 7]",43
sqlite3,https://github.com/IbpTeam/sqlite3,"[1, 3, 5, 6]",1
swirl_courses,https://github.com/Shamash2014/swirl_courses,"[1, 3, 6]",34
Colorful-1,https://github.com/luoyiqi/Colorful-1,"[1, 3, 5]",18
movies,https://github.com/MariyaS/movies,"[1, 3]",4
passwordless,https://github.com/haisonle/passwordless,"[1, 2, 3, 5, 6]",34
r-graph-catalog,https://github.com/JoseEnrique04/r-graph-catalog,"[1, 5]",4
NightNight,https://github.com/MaxAdamyan/NightNight,"[1, 2, 3, 5]",14
SlidingTutorial-Android,https://github.com/iamxufeng/SlidingTutorial-Android,"[1, 2, 3, 4, 5, 6]",36
yii2-eav,https://github.com/ArmiT/yii2-eav,"[3, 8]",40
workflow-plugin,https://github.com/serenabi/workflow-plugin,"[1, 2, 3, 6]",48
date-time-picker,https://github.com/duguruiyuan/date-time-picker,"[1, 3, 5]",11
NiftyNotification,https://github.com/sd6352051/NiftyNotification,"[1, 3, 5, 6]",16
assemble-workshop,https://github.com/itlackey/assemble-workshop,"[1, 3, 5, 6, 7]",21
ruby-object-initialize-lab-v-000,https://github.com/EarLyMe/ruby-object-initialize-lab-v-000,"[1, 3]",5
CalendarView,https://github.com/liujinchong/CalendarView,[],28
tcp-qa,https://github.com/sandriichenko/tcp-qa,"[1, 3]",21
Mining-the-Social-Web-2nd-Edition,https://github.com/nithiroj/Mining-the-Social-Web-2nd-Edition,"[1, 2, 6]",62
xact,https://github.com/mucyomiller/xact,[],7
RepData_PeerAssessment1,https://github.com/josnthecaster/RepData_PeerAssessment1,"[1, 2, 3]",7
libgdx-demo-cuboc,https://github.com/HanWenfang/libgdx-demo-cuboc,[1],7
scikit-beam,https://github.com/bfrosik/scikit-beam,[],24
hacker-scripts,https://github.com/murongruomeng/hacker-scripts,"[1, 3]",9
skills-based-javascript-intro-to-flow-control-v-000,https://github.com/jwolfe890/skills-based-javascript-intro-to-flow-control-v-000,"[1, 3, 6]",30
Apollo-11,https://github.com/hughker/Apollo-11,"[1, 5]",23
microservices-examples,https://github.com/Kryndex/microservices-examples,[3],7
ExData_Plotting1,https://github.com/silverfern7/ExData_Plotting1,[],2
advanced-tensorflow,https://github.com/YangHaha11514/advanced-tensorflow,[1],17
Device42-AutoDiscovery-Scripts,https://github.com/spkane/Device42-AutoDiscovery-Scripts,[1],10
ripgrep,https://github.com/AlluringJay/ripgrep,"[1, 2, 3, 5, 6]",32
vimsert,https://github.com/dragon788/vimsert,"[1, 3, 5, 6, 7]",10
angular2-busy,https://github.com/ozalpdemir/angular2-busy,"[1, 3, 4, 5, 6]",14
tokens,https://github.com/midumitrescu/tokens,"[1, 3, 5]",13
StarryPy3k,https://github.com/AMorporkian/StarryPy3k,"[1, 3, 6, 7]",7
generator-gulp-angular,https://github.com/aceol/generator-gulp-angular,"[3, 4, 5, 6]",72
smart-on-fhir.github.io,https://github.com/aaronseib/smart-on-fhir.github.io,"[1, 3, 5, 6]",6
schooldemo,https://github.com/carolcoral/schooldemo,[],1
kidsrubyinstaller-windows,https://github.com/gkarunakaran/kidsrubyinstaller-windows,"[1, 3, 6, 7]",5
cecil,https://github.com/WaylandGod/cecil,"[1, 3, 5, 6]",8
MMNumberKeyboard,https://github.com/houze2311/MMNumberKeyboard,"[1, 3, 5, 7]",4
cleanflight,https://github.com/funze/cleanflight,"[1, 2, 6, 7]",16
vagrant-aws,https://github.com/johnsonjr/vagrant-aws,"[1, 3, 4]",62
YouCompleteMe,https://github.com/memorywarning/YouCompleteMe,"[1, 3, 5, 6]",332
reveal.js,https://github.com/bissal/reveal.js,"[1, 3, 5, 6]",383
Engine,https://github.com/fp7-netide/Engine,"[1, 2, 6]",10
calendarjs,https://github.com/raphapassini/calendarjs,[1],2
node-tesseract,https://github.com/zhongdaojin/node-tesseract,"[1, 3]",28
go-multiaddr,https://github.com/majestrate/go-multiaddr,"[1, 3]",6
angular-strap,https://github.com/ttyouare/angular-strap,"[3, 5, 6, 7]",52
wdi_11_angular_token_auth_app,https://github.com/LookOut800/wdi_11_angular_token_auth_app,"[1, 3, 6]",4
js-basics-online-shopping-lab-js-intro-000,https://github.com/crisamdegracia/js-basics-online-shopping-lab-js-intro-000,"[1, 2, 3]",22
QrCodeScan,https://github.com/leixinstar/QrCodeScan,[],5
objc-TimesSquare,https://github.com/jakeheis/objc-TimesSquare,"[3, 7]",5
sonar-examples,https://github.com/tfereyre/sonar-examples,[3],17
website,https://github.com/e0003083/website,"[1, 4, 5, 7]",15
search-github-users,https://github.com/merlincharlotte/search-github-users,"[1, 3]",1
nshahpazov.github.io,https://github.com/mgechev/nshahpazov.github.io,"[1, 3, 6]",1
debugger.html,https://github.com/sdtm1016/debugger.html,"[1, 2, 3]",37
